	bigg_id	gene_name	reaction
426	b2344	fadL	TTDCEAtexi
427	b3693	dgoK	DDGALK
428	b3909	kdgT	GLCURt2rpp
429	b3526	kdgK	DDGLK
430	b1704	aroH	DDPA
431	b2601	aroF	DDPA
432	b0754	aroG	DDPA
433	b4477	dgoA	DDPGALA
434	b3648	gmk	GK1
435	b1393	paaF	DHACOAH
436	b3771	ilvD	DHAD2
437	b1198	dhaM	DHAPT
438	b1199	dhaL	DHAPT
439	b1200	dhaK	DHAPT
440	b0596	entA	DHBD
441	b0594	entE	DHBS
442	b2541	hcaB	DHPPD
443	b0348	mhpB	HPPPNDO
444	b0031	dapB	DHDPRy
445	b2478	dapA	DHDPS
446	b0048	folA	DHFR
447	b1606	folM	DHMPTR
448	b2315	folC	DHFS
449	b3930	menA	DHNAOT4
450	b2262	menB	DHNCOAS
451	b0736	ybgC	DHNCOAT
452	b3058	folB	DHNPTE
453	b0945	pyrD	DHORD5
454	b1062	pyrC	DHORTS
455	b3177	folP	DHPS2
456	b0578	nfsB	DHPTDNRN
457	b2303	folX	DHPTPE
458	b3389	aroB	DHQS
459	b1693	aroD	DHQTi
460	b0421	ispA	GRTT
461	b0029	ispH	IPDPS
462	b2232	ubiG	OHPHM
463	b1588	ynfF	TMAOR1
464	b0895	dmsB	TMAOR2
465	b1587	ynfE	TMAOR1
466	b0894	dmsA	TMAOR2
467	b1590	ynfH	TMAOR1
468	b0896	dmsC	TMAOR2
469	b1589	ynfG	TMAOR1
470	b1872	torZ	TMAOR2pp
471	b1873	torY	TMAOR2pp
472	b0099	mutT	NTPP2
473	b1865	nudB	NTPP5
474	b3575	yiaK	DOGULNR
475	b0103	coaE	DPCOAK
476	b3774	ilvC	KARA2
477	b0425	panE	DPR
478	b4381	deoC	DRPA
479	b1185	dsbB	DSBAO2
480	b3860	dsbA	DSBAO2
481	b2893	dsbC	TDSR1
482	b2582	trxC	TRDR
483	b4136	dsbD	TDSR2
484	b3781	trxA	TRDR
485	b0604	dsbG	TDSR2
486	b4122	fumB	FUM
487	b1098	tmk	DTMPK
488	b2146	preT	DURADx
489	b2147	preA	DURADx
490	b1238	tdk	TMDK1
491	b4384	deoD	PUNP6
492	b4382	deoA	TMDPP
493	b2251	nudI	NTPP7
494	b3640	dut	DUTPDP
495	b0173	dxr	DXPRIi
496	b0420	dxs	DXPS
497	b3564	xylB	XYLK
498	b1779	gapA	GAPD
499	b2927	epd	E4PD
500	b1288	fabI	EPMEACPR
501	b3622	waaL	O16A4Lpp
502	b3793	wzyE	ECAP3pp
503	b3785	wzzE	ECAP3pp
504	b3792	wzxE	ECAtpp
505	b2341	fadJ	HACD8
506	b1850	eda	OAADC
507	b1851	edd	EDD
508	b1054	lpxL	EDTXS1
509	b1855	lpxM	EDTXS4
510	b2378	lpxP	EDTXS3
511	b2779	eno	ENO
512	b0583	entD	ENTCS
513	b0585	fes	ENTERES2
514	b2441	eutB	ETHAAL
515	b2440	eutC	ETHAAL
516	b3946	fsaB	F6PA
517	b0825	fsaA	F6PA
518	b0822	ybiV	R5PP
519	b3666	uhpT	MAN6Pt6_2pp
520	b0404	acpH	FA80ACPHi
521	b0452	tesB	FACOAE80
522	b1805	fadD	FACOAL80t2pp
523	b1701	fadK	FACOAL80t2pp
524	b3844	fre	FMNRx2
525	b2764	cysJ	SULRi
526	b2763	cysI	SULRi
527	b2925	fbaA	FBA3
528	b1773	ydjI	FBA
529	b2097	fbaB	FBA
530	b3925	glpX	FBP
531	b2930	yggF	FBP
532	b4232	fbp	FBP
533	b2802	fucI	FCI
534	b2803	fucK	FCLK
535	b2738	ygbL	FCLPA
536	b2800	fucA	FCLPA
537	b0475	hemH	FCLT
538	b1476	fdnI	FDH5pp
539	b1474	fdnG	FDH5pp
540	b1475	fdnH	FDH5pp
541	b3892	fdoI	FDH5pp
542	b3893	fdoH	FDH5pp
543	b3894	fdoG	FDH5pp
544	b0935	ssuD	FDMO6
545	b3409	feoB	FE2abcpp
546	b2392	mntH	MNt2pp
547	b4290	fecB	FE3DCITabcpp
548	b4288	fecD	FE3DCITabcpp
549	b4287	fecE	FE3DCITabcpp
550	b4289	fecC	FE3DCITabcpp
551	b4291	fecA	FE3DCITtonex
552	b0589	fepG	FEENTERabcpp
553	b0588	fepC	FEENTERabcpp
554	b0592	fepB	FEENTERabcpp
555	b0590	fepD	FEENTERabcpp
556	b2155	cirA	FE3DHBZStonex
557	b0805	fiu	FE3DHBZStonex
558	b0150	fhuA	FEOXAMtonex
559	b0584	fepA	FEENTERtonex
560	b0591	entS	FEENTERtpp
561	b4367	fhuF	FEOXAMR3
562	b4209	ytfE	FESR
563	b2486	hyfF	FHL
564	b4079	fdhF	FHL
565	b2722	hycD	HYD1pp
566	b2483	hyfC	FHL
567	b2719	hycG	HYD1pp
568	b2723	hycC	HYD1pp
569	b2721	hycE	HYD1pp
570	b2481	hyfA	FHL
571	b2485	hyfE	FHL
572	b2484	hyfD	FHL
573	b2724	hycB	HYD1pp
574	b2482	hyfB	FHL
575	b2489	hyfI	FHL
576	b2720	hycF	HYD1pp
577	b2488	hyfH	FHL
578	b2490	hyfJ	FHL
579	b2487	hyfG	FHL
580	b3924	fpr	RNTR4c2
581	b0684	fldA	RNTR4c2
582	b2895	fldB	RNTR4c2
583	b3288	fmt	FMETTRS
584	b0025	ribF	RBFK
585	b0937	ssuE	FMNRx2
586	b2912	fau	FOMETRi
587	b2374	frc	FORCT
588	b2492	focB	FORtppi
589	b0904	focA	FORtppi
590	b4154	frdA	FRD3
591	b4152	frdC	FRD3
592	b4153	frdB	FRD3
593	b4151	frdD	FRD3
594	b2168	fruK	FRUK
595	b3371	frlB	FRULYSDG
596	b4474	frlC	FRULYSE
597	b3374	frlD	FRULYSK
598	b3370	frlA	PSCLYSt2pp
599	b4321	gntP	GLCNt2rpp
600	b2169	fruB	FRUptspp
601	b2167	fruA	FRUptspp
602	b1232	purU	FTHFD
603	b2801	fucP	FUCtpp
604	b1611	fumC	FUM
605	b1612	fumA	FUM
606	b0621	dcuC	SUCMALtpp
607	b3730	glmU	UAGDP
608	b1002	agp	GAL1PPpp
609	b3789	rffH	G1PTT
610	b2039	rfbA	G1PTT
611	b0154	hemL	G1SAT
612	b2533	suhB	MI1PP
613	b4055	aphA	TYRPpp
614	b4041	plsB	G3PAT181
615	b3451	ugpE	GLYC3Pabcpp
616	b3452	ugpA	GLYC3Pabcpp
617	b3453	ugpB	GLYC3Pabcpp
618	b3450	ugpC	GLYC3Pabcpp
619	b3608	gpsA	G3PD2
620	b2242	glpB	G3PD7
621	b2241	glpA	G3PD7
622	b2243	glpC	G3PD7
623	b3426	glpD	G3PD5
624	b0243	proA	G5SD
625	b0678	nagB	G6PDA
626	b1852	zwf	G6PDH2r
627	b3128	garD	GALCTD
628	b4358	lgoD	GALCTLO
629	b4478	dgoD	GALCTND
630	b4356	lgoT	GALCTNLt2pp
631	b3691	dgoT	GALCTNt2pp
632	b3127	garP	GLYCAt2rpp
633	b2789	gudP	GLYCAt2rpp
634	b0757	galK	GALKr
635	b2045	wcaK	GALKr
636	b0756	galM	GALM2pp
637	b4119	melA	GALS3
638	b3628	waaB	GALT1
639	b2093	gatB	GALTptspp
640	b2092	gatC	GALTptspp
641	b2094	gatA	GALTptspp
642	b3093	exuT	GLCURt2rpp
643	b1236	galU	GALUi
644	b4230	ytfT	RIBabcpp
645	b2148	mglC	GLCabcpp
646	b2149	mglA	GLCabcpp
647	b2150	mglB	GLCabcpp
648	b4231	yjfF	RIBabcpp
649	b4485	ytfR	RIBabcpp
650	b4227	ytfQ	RIBabcpp
651	b2943	galP	GLCt2pp
652	b2500	purN	GARFT
653	b1415	aldA	LCADi
654	b2052	wcaG	GOFUCR
655	b2784	relA	GTPDPK
656	b3650	spoT	PPGPPDP
657	b2051	wcaH	GDPMNH
658	b2467	nudK	GDPMNP
659	b3729	glmS	GF6PTA
660	b1298	puuD	GGGABAH
661	b1301	puuB	GGPTRCO
662	b1297	puuA	GLNS
663	b3882	yihU	GHBDHx
664	b3432	glgB	GLBRAN2
665	b0459	maa	MALTATr
666	b0124	gcd	GLCDpp
667	b0837	yliI	GLCDpp
668	b4476	gntU	GLCNt2rpp
669	b3415	gntT	GLCNt2rpp
670	b3417	malP	MLTP3
671	b3428	glgP	GLCP2
672	b3126	garL	GLCRAL
673	b2787	gudD	GLCRD
674	b2788	gudX	GLCRD
675	b3429	glgA	GLCS1
676	b3631	waaG	GLCTR1
677	b3627	waaO	GLCTR2
678	b3626	waaR	GLCTR3
679	b1621	malX	MALTptspp
680	b3431	glgX	GLDBRAN2
681	b3430	glgC	GLGC
682	b3870	glnA	GLNS
683	b0680	glnS	GLNTRS
684	b0809	glnQ	GLNabcpp
685	b0810	glnP	GLNabcpp
686	b0811	glnH	GLNabcpp
687	b2091	gatD	GLTPD
688	b0242	proB	GLU5K
689	b1492	gadC	GLUABUTt7pp
690	b2688	gshA	GLUCYS
691	b1493	gadB	GLUDC
692	b3517	gadA	GLUDC
693	b1761	gdhA	GLUDy
694	b1524	glsB	GLUN
695	b0485	glsA	GLUN
696	b2312	purF	GLUPRT
697	b3967	murI	GLUR
698	b3213	gltD	GLUSy
699	b3212	gltB	GLUSy
700	b1210	hemA	GLUTRR
701	b2400	gltX	GLUTRS
702	b3653	gltS	GLUt4pp
703	b0507	gcl	GLXCL
704	b3927	glpF	UREAtpp
705	b3617	kbl	GLYAT
706	b2240	glpT	GLYC3Pt6pp
707	b0514	glxK	GLYCK
708	b3124	garK	GLYCK2
709	b2904	gcvH	GLYCL
710	b2903	gcvP	GLYCL
711	b2905	gcvT	GLYCL
712	b1033	ghrA	HPYRRy
713	b4468	glcE	GLYCTO4
714	b4467	glcF	GLYCTO4
715	b2979	glcD	GLYCTO4
716	b3926	glpK	GLYK
717	b0212	gloB	GLYOX
718	b3559	glyS	GLYTRS
719	b3560	glyQ	GLYTRS
720	b2053	gmd	GMAND
721	b3052	hldE	GMHEPK
722	b0200	gmhB	GMHEPPA
723	b0104	guaC	GMPR
724	b2507	guaA	GMPS2
725	b2029	gnd	GND
726	b3437	gntK	GNK
727	b4268	idnK	GNK
728	b3449	ugpQ	GPDDA5
729	b2239	glpQ	GPDDA5pp
730	b1654	grxD	RNDR4b
731	b3610	grxC	RNDR4b
732	b0849	grxA	RNDR4b
733	b0477	gsk	INSK
734	b2988	gss	GSPMDS
735	b3500	gor	GTHOr
736	b1710	btuE	THIORDXi
737	b3447	ggt	GTHRDHpp
738	b0832	gsiD	GTHRDabcpp
739	b0829	gsiA	GTHRDabcpp
740	b0831	gsiC	GTHRDabcpp
741	b0830	gsiB	GTHRDabcpp
742	b2947	gshB	GTHS
743	b2153	folE	GTPCI
744	b1277	ribA	GTPCII2
745	b3779	gpp	GTPDPDP
746	b2883	guaD	GUAD
747	b0125	hpt	HXPRT
748	b0238	gpt	XPPT
749	b3092	uxaC	GUI2
750	b1319	ompG	H2Otex
751	b3875	ompL	H2Otex
752	b0957	ompA	H2Otex
753	b0875	aqpZ	H2Otpp
754	b1395	paaH	HADPCOADH3
755	b4040	ubiA	HBZOPT
756	b0353	mhpT	HPPPNt2rpp
757	b0339	cynT	HCO3E
758	b0126	can	HCO3E
759	b0261	mmuM	HCYSMT2
760	b0428	cyoE	HEMEOS
761	b3630	waaP	HEPK1
762	b3625	waaY	HEPK2
763	b3621	waaC	HEPT1
764	b3620	waaF	HEPT2
765	b3632	waaQ	HEPT3
766	b3623	waaU	HEPT4
767	b2104	thiM	HETZK
768	b2388	glk	HEX1
769	b0394	mak	HEX7
770	b2020	hisD	HISTD
771	b2022	hisB	IGPDH
772	b2514	hisS	HISTRS
773	b2309	hisJ	HISabcpp
774	b0112	aroP	TYRt2rpp
775	b0349	mhpC	HKNTDH
776	b3805	hemC	HMBS
777	b2418	pdxK	PYDXNK
778	b2103	thiD	PMPK
779	b0813	rhtA	THRt2pp
780	b3824	rhtB	HOMt2pp
781	b0352	mhpE	HOPNTAL
782	b0142	folK	HPPK2
783	b0508	hyi	HPYRI
784	b0003	thrB	HSK
785	b4013	metA	HSST
786	b2021	hisC	HSTPT
787	b2867	xdhB	XAND
788	b2866	xdhA	XAND
789	b2868	xdhC	XAND
790	b2994	hybC	HYD3pp
791	b0973	hyaB	HYD3pp
792	b0974	hyaC	HYD3pp
793	b2997	hybO	HYD3pp
794	b2995	hybB	HYD3pp
795	b2996	hybA	HYD3pp
796	b0972	hyaA	HYD3pp
797	b2530	iscS	THZPSN3
798	b2529	iscU	I4FE4ST
799	b3807	cyaY	S2FE2SS2
800	b2528	iscA	I4FE4ST
801	b1136	icd	ICDHyr
802	b2265	menF	ICHORS
803	b0593	entC	ICHORSi
804	b0595	entB	ICHORT
805	b4015	aceA	ICL
806	b4267	idnD	IDOND2
807	b2023	hisH	IG3PS
808	b2025	hisF	IG3PS
809	b1262	trpC	PRAIi
810	b3770	ilvE	VALTA
811	b0026	ileS	ILETRS
812	b0401	brnQ	VALt2rpp
813	b2508	guaB	IMPD
814	b3265	acrE	INDOLEt2pp
815	b3266	acrF	INDOLEt2pp
816	b3161	mtr	TRPt2rpp
817	b3679	yidK	INOSTt4pp
818	b2889	idi	IPDDI
819	b0073	leuB	IPMD
